listing_id,bedrooms,bathrooms,accommodates,room_type,neighborhood,description,price
listing1120,3,1,7,Entire home/apt,Uptown,"No frills stay. close to public transit. thin walls, budget option. basic amenities.",181.1
listing1121,4,1,9,Entire home/apt,Downtown,Quiet street. easy check-in process. marble bathroom and premium linens. stunning skyline view.,382.39
listing1122,4,3,5,Entire home/apt,Downtown,"No frills stay. a bit dated but functional. thin walls, budget option. parking available nearby. responsive host.",234.8
listing1123,3,1,7,Entire home/apt,Downtown,Convenient location. reliable wifi. comfortable and clean. close to public transit.,246.99
listing1124,5,2,6,Entire home/apt,Suburb,Spacious and bright. parking available nearby. modern finishes throughout.,278.12
listing1125,3,3,7,Entire home/apt,Uptown,Modern finishes throughout. high-end appliances. close to public transit. recently renovated.,282.88
listing1126,1,2,3,Private room,Downtown,Close to public transit. standard kitchen and bath. comfortable and clean. convenient location. responsive host.,149.62
listing1127,4,2,9,Private room,Suburb,Parking available nearby. walk to great restaurants. modern finishes throughout.,231.0
listing1128,3,2,7,Entire home/apt,Downtown,No frills stay. quiet street. shared bathroom down the hall. great for a short stay.,241.29
listing1129,4,1,9,Private room,Uptown,Easy check-in process. modern finishes throughout. walk to great restaurants.,223.14
listing1130,3,2,4,Private room,Waterfront,"Thin walls, budget option. shared bathroom down the hall. great for a short stay. close to public transit.",162.21
listing1131,3,3,4,Entire home/apt,Suburb,Walk to great restaurants. recently renovated. close to public transit.,240.62
listing1132,1,1,3,Entire home/apt,Waterfront,High-end appliances. walk to great restaurants. recently renovated. parking available nearby.,233.1
listing1133,3,3,4,Entire home/apt,Uptown,No frills stay. close to public transit. shared bathroom down the hall.,191.24
listing1134,4,2,9,Entire home/apt,Suburb,No frills stay. easy check-in process. a bit dated but functional. great for a short stay.,202.75
listing1135,2,2,3,Private room,Downtown,Spacious and bright. high-end appliances. parking available nearby.,201.0
listing1136,4,1,9,Shared room,Suburb,A bit dated but functional. shared bathroom down the hall. parking available nearby.,85.06
listing1137,1,2,2,Entire home/apt,Suburb,"Basic amenities. quiet street. thin walls, budget option. no frills stay.",125.44
listing1138,2,1,3,Private room,Suburb,Convenient location. well maintained. close to public transit. great for a short stay.,121.19
listing1139,3,1,4,Entire home/apt,Downtown,Private rooftop access. great for a short stay. close to public transit. designer furnished. stunning skyline view.,338.46
listing1140,5,3,6,Private room,Downtown,Standard kitchen and bath. convenient location. parking available nearby.,226.98
listing1141,2,1,3,Private room,Waterfront,Easy check-in process. standard kitchen and bath. comfortable and clean.,141.24
listing1142,2,2,3,Entire home/apt,Uptown,Close to public transit. private rooftop access. stunning skyline view. easy check-in process. five-star concierge service.,298.52
listing1143,3,2,7,Entire home/apt,Uptown,Quiet street. well maintained. comfortable and clean. parking available nearby.,209.19
listing1144,5,1,11,Private room,Suburb,Well maintained. easy check-in process. parking available nearby. reliable wifi.,202.32
listing1145,5,1,11,Shared room,Waterfront,Responsive host. well maintained. reliable wifi.,216.44
listing1146,1,2,3,Entire home/apt,Uptown,Well maintained. parking available nearby. convenient location. standard kitchen and bath.,206.98
listing1147,2,2,5,Entire home/apt,Uptown,Easy check-in process. standard kitchen and bath. parking available nearby. convenient location. reliable wifi.,190.28
listing1148,5,3,11,Entire home/apt,Downtown,Quiet street. modern finishes throughout. high-end appliances. walk to great restaurants.,370.02
listing1149,1,3,2,Private room,Downtown,Easy check-in process. no frills stay. a bit dated but functional.,114.79
listing1150,5,1,11,Private room,Downtown,Responsive host. easy check-in process. recently renovated. high-end appliances.,270.03
listing1151,2,1,3,Private room,Suburb,"Responsive host. shared bathroom down the hall. thin walls, budget option.",56.56
listing1152,5,1,6,Private room,Waterfront,Reliable wifi. great for a short stay. well maintained. convenient location.,231.15
listing1153,2,2,5,Private room,Uptown,"Basic amenities. thin walls, budget option. close to public transit. parking available nearby.",124.11
listing1154,3,1,4,Private room,Uptown,Well maintained. reliable wifi. comfortable and clean. great for a short stay.,171.42
listing1155,4,1,9,Entire home/apt,Waterfront,High-end appliances. great for a short stay. walk to great restaurants.,335.1
listing1156,1,3,3,Private room,Suburb,Well maintained. standard kitchen and bath. parking available nearby. quiet street. comfortable and clean.,97.87
listing1157,3,3,7,Entire home/apt,Suburb,Responsive host. close to public transit. a bit dated but functional. no frills stay.,179.95
listing1158,3,3,7,Entire home/apt,Uptown,A bit dated but functional. easy check-in process. no frills stay. close to public transit.,200.58
listing1159,4,1,9,Shared room,Suburb,Responsive host. high-end appliances. spacious and bright. recently renovated. quiet street.,195.68
listing1160,5,2,6,Private room,Uptown,Standard kitchen and bath. convenient location. responsive host.,194.66
listing1161,4,2,9,Shared room,Uptown,High-end appliances. modern finishes throughout. quiet street.,230.76
listing1162,3,1,4,Entire home/apt,Suburb,Quiet street. convenient location. great for a short stay. comfortable and clean.,196.3
listing1163,3,2,4,Entire home/apt,Uptown,"Shared bathroom down the hall. quiet street. no frills stay. thin walls, budget option.",198.96
listing1164,3,2,4,Entire home/apt,Uptown,Modern finishes throughout. recently renovated. high-end appliances. close to public transit.,261.32
listing1165,5,2,6,Entire home/apt,Uptown,Quiet street. reliable wifi. comfortable and clean. responsive host. standard kitchen and bath.,276.93
listing1166,2,3,5,Entire home/apt,Uptown,"Close to public transit. shared bathroom down the hall. responsive host. thin walls, budget option.",190.81
listing1167,1,3,2,Entire home/apt,Uptown,Stunning skyline view. private rooftop access. responsive host. five-star concierge service. parking available nearby.,276.57
listing1168,2,2,5,Entire home/apt,Waterfront,No frills stay. a bit dated but functional. close to public transit. responsive host.,219.35
listing1169,1,3,3,Shared room,Uptown,Quiet street. standard kitchen and bath. well maintained.,103.27
listing1170,1,3,3,Entire home/apt,Downtown,Standard kitchen and bath. well maintained. close to public transit. responsive host.,205.42
listing1171,1,2,3,Entire home/apt,Suburb,Standard kitchen and bath. reliable wifi. quiet street. convenient location.,167.2
listing1172,4,1,5,Private room,Uptown,Modern finishes throughout. great for a short stay. recently renovated. spacious and bright. close to public transit.,211.23
listing1173,4,3,5,Entire home/apt,Suburb,Responsive host. a bit dated but functional. shared bathroom down the hall.,207.87
listing1174,4,3,9,Shared room,Downtown,Stunning skyline view. private rooftop access. responsive host. parking available nearby. designer furnished.,287.55
listing1175,3,3,7,Private room,Waterfront,Reliable wifi. convenient location. great for a short stay.,197.49
listing1176,4,1,9,Entire home/apt,Uptown,Marble bathroom and premium linens. private rooftop access. designer furnished. close to public transit.,363.82
listing1177,1,2,2,Private room,Suburb,Walk to great restaurants. responsive host. high-end appliances. great for a short stay.,149.56
listing1178,5,3,6,Private room,Downtown,Close to public transit. marble bathroom and premium linens. private rooftop access.,334.61
listing1179,3,2,4,Private room,Suburb,Easy check-in process. well maintained. standard kitchen and bath. comfortable and clean.,130.35
listing1180,5,3,6,Private room,Uptown,Convenient location. comfortable and clean. close to public transit. great for a short stay. well maintained.,210.4
listing1181,1,1,2,Private room,Waterfront,Responsive host. reliable wifi. well maintained. standard kitchen and bath.,152.59
listing1182,3,1,7,Private room,Uptown,High-end appliances. recently renovated. modern finishes throughout. great for a short stay. responsive host.,197.75
listing1183,4,3,5,Entire home/apt,Downtown,Comfortable and clean. well maintained. convenient location. great for a short stay. responsive host.,269.41
listing1184,3,2,7,Private room,Uptown,Walk to great restaurants. recently renovated. close to public transit. spacious and bright.,234.47
listing1185,3,2,7,Shared room,Downtown,Basic amenities. a bit dated but functional. no frills stay. responsive host.,136.43
listing1186,1,2,3,Private room,Uptown,Recently renovated. easy check-in process. walk to great restaurants.,181.22
listing1187,2,2,3,Private room,Waterfront,Close to public transit. shared bathroom down the hall. no frills stay. great for a short stay.,121.22
listing1188,2,3,3,Entire home/apt,Uptown,Marble bathroom and premium linens. quiet street. stunning skyline view. private rooftop access. responsive host.,309.22
listing1189,2,1,5,Private room,Downtown,Responsive host. close to public transit. no frills stay. shared bathroom down the hall. a bit dated but functional.,150.85
listing1190,4,3,5,Shared room,Downtown,"A bit dated but functional. responsive host. thin walls, budget option. great for a short stay. shared bathroom down the hall.",157.36
listing1191,4,3,9,Entire home/apt,Downtown,Great for a short stay. easy check-in process. recently renovated. spacious and bright.,329.83
listing1192,4,2,9,Entire home/apt,Downtown,Walk to great restaurants. recently renovated. quiet street.,308.99
listing1193,2,2,3,Entire home/apt,Waterfront,Modern finishes throughout. walk to great restaurants. parking available nearby.,285.99
listing1194,5,1,11,Entire home/apt,Downtown,Marble bathroom and premium linens. designer furnished. quiet street. private rooftop access.,379.76
listing1195,1,3,2,Private room,Suburb,Standard kitchen and bath. reliable wifi. quiet street. well maintained.,99.86
listing1196,2,2,3,Entire home/apt,Downtown,Responsive host. high-end appliances. walk to great restaurants.,248.19
listing1197,1,1,3,Entire home/apt,Downtown,Standard kitchen and bath. reliable wifi. easy check-in process. well maintained. great for a short stay.,213.68
listing1198,2,2,5,Private room,Suburb,Well maintained. reliable wifi. great for a short stay. responsive host. convenient location.,134.86
listing1199,5,3,6,Private room,Downtown,Well maintained. convenient location. great for a short stay. reliable wifi.,233.62
listing1200,2,1,5,Private room,Uptown,A bit dated but functional. parking available nearby. basic amenities. easy check-in process.,92.15
listing1201,5,1,11,Private room,Suburb,Standard kitchen and bath. reliable wifi. responsive host. well maintained.,207.43
listing1202,3,3,7,Private room,Suburb,Quiet street. walk to great restaurants. high-end appliances. easy check-in process. recently renovated.,192.61
listing1203,4,1,5,Private room,Waterfront,"Quiet street. parking available nearby. basic amenities. no frills stay. thin walls, budget option.",158.74
listing1204,3,3,4,Private room,Downtown,Marble bathroom and premium linens. easy check-in process. stunning skyline view.,258.85
listing1205,2,3,5,Entire home/apt,Waterfront,Convenient location. quiet street. close to public transit. comfortable and clean.,243.25
listing1206,4,3,9,Private room,Suburb,Basic amenities. shared bathroom down the hall. quiet street.,135.54
listing1207,5,3,11,Entire home/apt,Suburb,Easy check-in process. responsive host. well maintained. standard kitchen and bath.,266.53
listing1208,2,1,3,Entire home/apt,Downtown,"Shared bathroom down the hall. parking available nearby. quiet street. a bit dated but functional. thin walls, budget option.",191.93
listing1209,4,1,5,Entire home/apt,Uptown,"Shared bathroom down the hall. parking available nearby. thin walls, budget option. great for a short stay.",202.5
listing1210,2,2,5,Private room,Uptown,Parking available nearby. modern finishes throughout. walk to great restaurants. close to public transit. high-end appliances.,190.27
listing1211,4,2,5,Private room,Downtown,No frills stay. close to public transit. parking available nearby. shared bathroom down the hall.,163.32
listing1212,4,3,5,Entire home/apt,Waterfront,"Great for a short stay. thin walls, budget option. shared bathroom down the hall.",257.78
listing1213,3,3,7,Private room,Downtown,Easy check-in process. modern finishes throughout. walk to great restaurants. high-end appliances. responsive host.,265.05
listing1214,4,2,9,Entire home/apt,Uptown,"Shared bathroom down the hall. a bit dated but functional. close to public transit. thin walls, budget option.",228.82
listing1215,2,3,3,Private room,Downtown,Responsive host. recently renovated. great for a short stay. high-end appliances.,212.61
listing1216,1,2,2,Private room,Uptown,Close to public transit. spacious and bright. responsive host. walk to great restaurants.,137.21
listing1217,1,2,2,Private room,Downtown,Responsive host. a bit dated but functional. no frills stay. close to public transit. basic amenities.,124.24
listing1218,3,2,7,Private room,Uptown,Well maintained. parking available nearby. standard kitchen and bath.,166.27
listing1219,5,2,6,Entire home/apt,Downtown,Shared bathroom down the hall. basic amenities. responsive host.,271.61
listing1220,1,1,3,Entire home/apt,Suburb,Convenient location. comfortable and clean. quiet street. well maintained. close to public transit.,148.52
listing1221,3,3,4,Private room,Downtown,"Thin walls, budget option. basic amenities. close to public transit. a bit dated but functional.",167.34
listing1222,4,2,9,Private room,Uptown,Private rooftop access. stunning skyline view. marble bathroom and premium linens. easy check-in process.,296.05
listing1223,2,3,5,Entire home/apt,Downtown,A bit dated but functional. no frills stay. easy check-in process. responsive host. shared bathroom down the hall.,205.57
listing1224,4,2,9,Entire home/apt,Downtown,Easy check-in process. high-end appliances. spacious and bright.,336.1
listing1225,2,3,5,Entire home/apt,Downtown,Easy check-in process. no frills stay. shared bathroom down the hall.,201.89
listing1226,5,3,11,Entire home/apt,Downtown,"Close to public transit. thin walls, budget option. no frills stay. quiet street.",298.34
listing1227,3,2,4,Entire home/apt,Downtown,Quiet street. convenient location. parking available nearby. reliable wifi.,240.32
listing1228,3,2,7,Entire home/apt,Uptown,Convenient location. close to public transit. standard kitchen and bath. comfortable and clean.,241.19
listing1229,1,1,3,Shared room,Waterfront,Responsive host. marble bathroom and premium linens. designer furnished. five-star concierge service.,199.46
listing1230,3,3,7,Entire home/apt,Downtown,Responsive host. a bit dated but functional. basic amenities. no frills stay.,237.6
listing1231,5,3,6,Entire home/apt,Uptown,Responsive host. quiet street. a bit dated but functional. no frills stay.,236.1
listing1232,1,3,3,Entire home/apt,Waterfront,Standard kitchen and bath. well maintained. great for a short stay. reliable wifi.,227.97
listing1233,4,3,5,Entire home/apt,Downtown,Quiet street. close to public transit. convenient location. comfortable and clean.,277.53
listing1234,3,3,7,Private room,Uptown,Spacious and bright. high-end appliances. recently renovated. close to public transit.,215.52
listing1235,4,3,9,Entire home/apt,Downtown,Responsive host. marble bathroom and premium linens. five-star concierge service. parking available nearby.,382.34
listing1236,4,2,5,Private room,Downtown,Recently renovated. responsive host. easy check-in process. walk to great restaurants.,243.61
listing1237,3,1,7,Private room,Uptown,"A bit dated but functional. thin walls, budget option. shared bathroom down the hall. parking available nearby.",124.6
listing1238,2,1,5,Entire home/apt,Suburb,Convenient location. great for a short stay. well maintained.,174.45
listing1239,4,1,5,Private room,Suburb,Recently renovated. high-end appliances. modern finishes throughout. parking available nearby.,174.93
listing1240,1,2,2,Shared room,Suburb,Easy check-in process. standard kitchen and bath. quiet street. comfortable and clean.,94.15
listing1241,3,3,4,Entire home/apt,Uptown,Recently renovated. responsive host. modern finishes throughout. parking available nearby. walk to great restaurants.,287.71
listing1242,1,2,3,Entire home/apt,Downtown,"Easy check-in process. thin walls, budget option. great for a short stay. a bit dated but functional.",178.28
listing1243,4,1,9,Shared room,Uptown,Reliable wifi. convenient location. easy check-in process. comfortable and clean.,177.07
listing1244,4,1,9,Private room,Downtown,Great for a short stay. spacious and bright. close to public transit. high-end appliances. modern finishes throughout.,224.25
listing1245,1,3,3,Entire home/apt,Downtown,Convenient location. comfortable and clean. great for a short stay.,184.31
