CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),cluster
270,Male,46,43,28,0
271,Female,28,21,16,0
272,Male,32,27,28,3
273,Male,37,19,8,0
274,Female,37,88,61,1
275,Female,18,62,49,3
276,Female,26,76,30,3
277,Female,54,82,6,2
278,Female,37,82,86,1
279,Male,41,72,50,3
280,Male,32,42,64,3
281,Female,32,20,20,0
282,Male,47,27,30,0
283,Female,51,15,19,0
284,Female,52,15,9,0
285,Female,47,90,86,1
286,Male,70,89,25,2
287,Male,48,23,12,0
288,Male,40,89,13,2
289,Male,26,109,85,1
290,Male,43,33,19,0
291,Male,41,60,39,3
292,Female,42,42,25,0
293,Female,36,50,48,3
294,Female,31,22,29,3
295,Male,41,63,48,3
296,Male,48,45,65,3
297,Male,45,64,37,2
298,Male,38,59,36,3
299,Male,39,58,58,3
300,Female,42,91,97,1
301,Male,37,29,49,3
302,Male,55,15,21,0
303,Female,25,78,85,1
304,Female,28,82,97,1
305,Female,53,59,33,2
306,Male,37,93,80,1
307,Female,45,72,30,2
308,Male,27,86,77,1
309,Male,53,91,21,2
310,Female,42,25,25,0
311,Female,42,108,66,1
312,Male,66,97,9,2
313,Female,45,34,30,0
314,Male,51,83,16,2
315,Male,41,98,20,2
316,Male,53,92,27,2
317,Female,41,92,15,2
318,Male,40,47,36,3
319,Female,24,84,14,3
320,Male,33,44,63,3
321,Female,50,58,38,2
322,Female,51,87,85,1
323,Male,43,99,15,2
324,Male,31,85,87,1
325,Male,37,51,67,3
326,Female,52,76,53,2
327,Male,32,58,62,3
328,Female,40,80,87,1
329,Male,21,88,69,1
330,Female,49,72,1,2
331,Female,20,65,52,3
332,Female,62,23,18,0
333,Female,52,42,48,0
334,Male,39,59,58,3
335,Female,39,28,28,0
336,Male,35,96,68,1
337,Female,45,27,14,0
338,Female,35,49,41,3
339,Female,36,15,23,0
340,Female,33,61,40,3
341,Male,48,19,33,0
342,Male,21,53,57,3
343,Male,39,55,72,3
344,Female,39,89,87,1
345,Female,40,37,35,0
346,Male,35,49,65,3
347,Male,18,38,39,3
348,Male,45,83,16,2
349,Male,31,98,94,1
350,Male,49,15,26,0
351,Female,23,91,92,1
352,Female,51,43,10,0
353,Male,44,73,73,1
354,Female,34,86,90,1
355,Female,30,87,96,1
356,Male,36,72,74,1
357,Male,32,59,36,3
358,Male,27,50,48,3
359,Male,38,82,75,1
360,Female,29,95,81,1
361,Female,29,56,44,3
362,Male,36,17,14,0
363,Female,32,26,27,3
364,Male,48,25,18,0
365,Female,28,55,37,3
366,Female,30,85,28,3
367,Male,37,58,64,3
368,Male,37,60,45,3
369,Female,56,70,1,2
370,Female,27,46,47,3
371,Male,32,42,50,3
372,Male,51,88,23,2
373,Male,39,87,34,2
374,Female,58,85,29,2
375,Female,56,15,17,0
376,Female,43,30,22,0
377,Female,36,52,55,3
378,Female,43,85,19,2
379,Female,34,90,47,1
380,Male,43,58,44,3
381,Female,41,88,90,1
382,Male,19,57,63,3
383,Male,47,69,56,3
384,Female,33,77,74,1
385,Female,57,85,21,2
386,Female,38,39,62,3
387,Male,42,53,37,3
388,Female,26,33,58,3
389,Female,54,25,19,0
390,Male,34,53,45,3
391,Male,29,99,87,1
392,Female,48,23,4,0
393,Male,33,72,90,1
394,Female,37,76,41,3
395,Male,39,41,32,3
396,Male,34,90,82,1
397,Female,25,49,51,3
398,Male,46,86,23,2
399,Female,35,73,92,1
400,Female,36,78,15,2
401,Male,58,76,13,2
402,Female,34,49,58,3
403,Female,45,57,51,3
404,Female,34,20,4,0
405,Female,41,50,40,3
406,Female,24,51,76,3
407,Female,44,87,7,2
408,Male,40,56,29,3
409,Female,47,42,15,0
410,Female,33,64,50,3
411,Female,37,35,58,3
412,Female,33,46,53,3
413,Male,34,20,26,0
414,Female,33,64,38,3
415,Female,46,42,31,0
416,Male,46,17,15,0
417,Male,45,25,19,0
418,Female,34,53,38,3
419,Female,43,33,6,0
420,Female,35,48,53,3
421,Male,28,68,57,3
422,Male,40,31,12,0
423,Female,52,28,15,0
424,Female,40,18,14,0
425,Female,37,83,93,1
426,Female,30,70,75,1
427,Female,39,26,8,0
428,Female,30,49,41,3
429,Female,52,24,8,0
430,Female,34,47,80,3
431,Female,52,56,39,2
432,Male,27,65,55,3
433,Male,50,57,41,2
434,Female,19,62,53,3
435,Female,55,16,27,0
436,Female,47,35,4,0
437,Male,45,34,3,0
438,Female,18,90,79,1
439,Male,37,52,49,3
440,Female,32,83,78,1
441,Female,35,59,49,3
442,Female,49,26,1,0
443,Female,46,55,52,3
444,Male,47,15,1,0
445,Female,44,85,20,2
446,Female,42,61,61,3
447,Female,44,53,31,3
448,Female,25,99,88,1
449,Male,57,31,29,0
450,Male,38,80,80,1
451,Male,48,26,9,0
452,Male,40,60,53,3
453,Male,31,53,67,3
454,Female,52,20,20,0
455,Female,29,15,7,0
456,Male,42,25,9,0
457,Male,40,61,46,3
458,Male,36,85,89,1
459,Female,46,49,50,3
460,Male,37,92,68,1
461,Female,40,78,96,1
462,Female,43,28,22,0
463,Male,40,61,48,3
464,Female,43,93,12,2
465,Female,18,77,71,1
466,Male,49,62,70,3
467,Male,43,73,89,1
468,Female,22,51,53,3
469,Female,47,27,9,0
470,Female,40,74,87,1
471,Female,31,78,7,2
472,Male,20,86,76,1
473,Female,36,29,16,0
474,Female,50,20,31,0
475,Male,39,84,24,2
476,Female,44,85,19,2
477,Female,52,89,10,2
478,Female,42,93,53,1
479,Male,40,61,76,3
480,Male,39,82,3,2
481,Female,57,94,1,2
482,Female,40,25,8,0
483,Female,38,79,91,1
484,Female,41,70,14,2
485,Female,58,37,6,0
486,Male,43,85,6,2
487,Male,33,81,69,1
488,Male,42,15,1,0
489,Male,25,72,74,1
490,Female,32,80,100,1
491,Male,33,57,34,3
492,Male,39,90,72,1
493,Female,33,44,49,3
494,Male,46,86,12,2
495,Male,42,53,45,3
496,Female,29,90,81,1
497,Male,46,92,16,2
498,Female,21,89,99,1
499,Female,50,92,1,2
500,Male,33,102,87,1
