PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
132,3,male,40.0,0,0,6.85,S,0
133,3,male,,0,0,3.8,S,0
134,2,male,20.4,0,0,14.89,S,1
135,3,male,14.0,0,0,15.13,C,0
136,1,female,16.5,0,0,61.9,S,0
137,3,male,29.7,0,0,12.74,S,0
138,3,male,1.9,1,0,12.25,S,0
139,3,male,37.0,2,0,0.02,S,1
140,1,male,38.8,0,2,284.89,Q,0
141,3,male,25.7,2,0,21.04,Q,0
142,3,male,,0,0,0.39,S,0
143,3,female,16.0,2,0,3.4,C,1
144,3,male,45.0,3,0,3.58,C,0
145,3,male,0.5,0,0,1.58,S,0
146,2,male,24.5,1,0,1.58,C,0
147,2,male,,3,2,13.83,S,0
148,3,male,39.5,2,0,1.57,C,0
149,2,female,,3,0,28.11,Q,1
150,1,female,34.3,0,0,58.47,S,1
151,3,male,36.4,0,0,3.41,C,0
152,3,male,52.9,1,0,17.62,Q,0
153,1,male,26.4,0,0,94.86,S,0
154,3,male,33.9,0,0,38.62,S,1
155,1,female,9.7,0,0,14.54,Q,1
156,3,male,44.5,0,0,1.98,Q,0
157,2,male,19.1,0,0,3.21,S,0
158,3,female,21.7,1,0,5.98,S,1
159,3,male,28.7,0,0,24.85,S,0
160,3,male,8.7,1,0,42.96,S,0
161,1,female,32.0,1,0,76.03,S,1
162,3,male,,0,0,22.54,S,0
163,1,male,32.8,0,3,349.93,S,0
164,1,male,8.3,0,0,2.66,S,1
165,3,female,27.4,3,0,32.51,S,1
166,2,male,38.6,1,0,7.55,S,0
167,3,male,4.6,0,1,0.15,C,1
168,3,male,15.0,0,0,6.72,S,1
169,2,male,40.4,0,0,57.17,S,1
170,3,male,32.5,0,0,7.02,S,1
171,2,male,34.4,3,1,14.18,S,0
172,3,male,53.2,1,0,3.69,S,0
173,2,male,35.1,0,2,0.07,S,0
174,3,female,,1,0,32.26,S,1
175,1,male,,0,1,72.05,S,0
176,1,female,26.2,1,0,5.82,S,1
177,2,male,18.6,0,0,19.93,S,0
178,3,male,,0,0,3.68,Q,0
179,3,female,34.7,2,0,0.78,C,0
180,3,female,22.2,0,0,6.29,S,1
181,3,male,15.6,1,0,23.86,S,0
182,3,female,,4,0,28.2,S,1
183,3,male,33.2,0,0,16.73,S,0
184,2,male,19.5,0,1,20.86,S,1
185,3,female,40.9,0,2,3.47,S,1
186,3,male,27.6,0,0,2.13,S,1
187,2,female,25.7,0,0,33.52,S,1
188,1,male,36.3,0,0,38.08,S,0
189,3,female,12.2,1,2,35.47,C,1
190,2,male,,0,0,16.04,C,0
191,3,male,53.9,0,0,17.21,S,0
192,2,male,,1,2,20.81,S,0
193,1,male,24.1,0,2,54.61,S,0
194,3,male,22.4,1,0,0.16,C,0
195,1,male,23.7,0,0,11.94,S,1
196,1,male,25.7,3,0,19.56,S,1
197,3,male,24.1,0,0,0.97,S,1
198,3,male,40.9,0,0,1.84,Q,0
199,1,female,,2,0,67.95,S,1
200,2,female,40.2,0,0,18.07,S,1
201,3,female,,0,0,16.58,S,1
202,3,male,33.9,0,0,2.74,S,1
203,3,female,14.3,1,0,21.17,S,1
204,1,male,46.3,0,1,19.49,S,0
205,1,male,45.2,0,1,1.74,S,1
206,1,male,41.5,0,0,41.47,S,0
207,1,female,9.3,0,1,16.86,S,1
208,3,male,39.8,0,0,12.05,,0
209,1,male,34.3,0,0,213.79,S,0
210,3,female,8.1,0,0,7.75,S,1
211,3,male,28.7,0,1,33.51,S,0
212,3,male,33.7,0,1,6.29,S,1
213,1,female,,0,2,2.25,S,1
214,3,male,,0,1,32.3,Q,0
215,3,male,32.8,0,2,8.6,S,0
216,3,female,48.2,0,0,26.13,C,1
217,1,female,44.9,0,2,19.75,C,1
218,1,male,0.5,0,0,66.36,S,1
219,3,male,24.9,0,0,1.12,S,0
220,2,male,26.9,1,0,18.61,S,0
221,2,male,6.2,0,0,10.02,S,0
222,3,male,30.2,0,0,22.17,S,1
223,3,male,45.2,0,0,12.64,S,0
224,3,female,14.9,0,0,13.21,S,1
225,2,female,33.4,0,0,8.92,S,1
226,3,male,17.1,0,1,14.25,C,0
227,1,male,20.3,0,0,114.95,S,0
228,3,male,,0,0,10.05,C,0
229,3,female,21.9,1,0,23.82,S,1
230,1,male,35.0,3,0,22.08,S,0
231,1,male,4.7,0,0,57.96,S,1
232,2,male,53.2,0,1,19.35,S,1
233,3,male,36.8,1,0,5.79,S,0
234,3,female,26.6,0,0,3.01,Q,0
235,3,female,36.5,1,0,1.36,S,1
236,3,male,,0,0,11.75,S,1
237,3,female,,2,1,3.71,S,1
238,3,female,24.8,4,0,0.86,S,1
239,1,male,26.3,0,1,69.64,S,0
240,1,male,,0,0,9.23,S,1
241,3,male,21.5,0,1,28.06,S,0
242,3,female,38.0,0,0,1.14,S,0
243,1,male,32.3,0,1,114.25,S,1
244,3,male,37.5,4,3,13.43,Q,0
245,3,male,28.9,0,0,0.69,S,0
246,3,female,35.7,0,1,5.87,S,1
247,3,male,23.6,1,0,22.84,Q,1
248,2,female,58.0,0,0,3.26,S,1
249,2,male,8.6,0,2,12.36,S,0
250,2,female,45.4,3,0,34.24,C,1
251,3,male,46.8,0,0,2.49,Q,0
252,3,male,17.9,0,0,3.79,C,1
253,3,female,58.0,0,0,1.42,S,1
254,2,female,41.9,3,1,47.33,Q,1
255,1,male,41.6,0,0,7.7,S,1
256,3,male,29.4,0,0,39.88,Q,0
257,3,female,26.2,0,0,6.5,C,0
258,1,female,,0,0,128.09,Q,1
259,1,male,34.1,2,1,111.28,S,1
260,3,male,,0,2,12.53,S,0
261,1,female,31.4,3,0,45.81,S,1
262,3,female,17.2,0,0,11.91,S,1
263,2,female,39.7,0,0,7.34,S,0
264,1,male,41.0,1,0,87.7,Q,1
265,3,male,37.5,0,0,0.09,S,0
266,1,female,,0,0,5.46,S,1
267,2,female,25.5,1,0,2.13,S,1
268,1,female,16.9,0,0,14.45,S,1
269,1,male,17.7,0,0,22.01,S,1
270,1,male,7.7,3,0,144.27,S,1
271,1,female,,0,1,299.14,C,1
272,1,male,,0,0,16.63,C,1
273,1,female,23.3,0,0,5.64,S,1
274,3,male,0.5,0,1,2.98,S,0
275,3,female,12.8,0,1,15.35,S,1
276,2,female,43.6,1,0,33.98,C,1
277,2,male,20.4,0,0,10.08,C,1
278,3,male,33.7,0,0,6.31,S,0
279,3,male,,0,0,11.67,C,0
280,3,male,,0,0,16.31,S,0
281,1,male,,0,0,64.26,S,0
282,1,male,32.8,1,0,2.33,C,0
283,1,female,59.2,0,0,314.67,S,1
284,2,male,48.7,0,2,9.58,S,0
285,3,male,25.0,1,0,7.97,S,0
286,2,male,21.3,0,1,1.79,S,0
287,1,male,24.8,0,3,4.83,S,0
288,2,male,35.6,2,1,1.31,S,0
289,3,male,27.6,0,0,9.6,S,0
290,1,female,23.9,0,1,5.0,S,1
291,3,male,48.1,0,0,40.63,C,1
292,1,female,27.5,0,0,52.36,S,1
293,3,male,,0,1,8.19,Q,1
294,1,male,30.2,1,0,149.99,S,1
295,3,female,52.2,0,0,7.97,S,1
296,3,female,33.6,1,0,2.76,S,0
297,3,male,41.5,2,1,14.13,C,0
298,3,male,19.6,0,0,0.45,S,0
299,3,male,,1,0,1.63,Q,0
300,3,male,35.0,1,2,11.39,,0
301,3,male,41.9,4,0,0.21,S,0
302,1,male,29.5,0,0,63.68,S,0
303,3,male,12.3,0,0,25.9,S,0
304,3,male,11.3,0,3,57.59,S,0
305,3,female,,0,0,19.53,S,1
306,3,female,6.0,0,0,2.9,S,1
307,2,male,30.4,0,0,7.98,S,0
308,3,male,43.6,0,1,4.08,S,1
309,2,male,28.8,2,0,6.51,S,1
310,1,male,,0,0,90.55,S,1
311,3,female,26.5,0,3,24.49,S,1
312,2,female,26.9,0,0,8.45,S,1
313,1,female,56.2,0,0,0.88,S,1
314,2,female,,0,0,6.4,S,1
315,2,female,23.9,0,1,14.19,C,1
316,2,female,51.2,0,0,4.76,S,1
317,2,male,,0,0,8.5,S,0
318,3,male,,0,0,22.74,C,0
319,2,male,30.5,0,0,5.49,S,1
320,3,male,33.3,0,1,8.41,S,1
321,3,male,39.1,0,0,9.28,Q,0
322,3,female,,0,0,24.12,Q,1
323,2,male,40.4,0,2,9.62,C,0
324,3,male,11.2,0,0,10.76,S,0
325,3,male,33.3,1,0,5.35,S,0
326,3,male,31.3,4,0,5.83,Q,0
327,3,male,,2,0,60.85,Q,0
328,3,female,28.7,0,0,8.84,S,1
329,3,male,20.9,0,0,49.47,S,0
330,2,female,15.1,0,0,11.06,S,1
331,3,male,24.4,1,0,0.65,S,0
332,1,male,14.6,1,0,8.43,S,0
333,3,male,33.2,1,0,0.49,S,1
334,3,female,,2,0,13.55,S,1
335,1,female,38.3,0,1,66.44,S,1
336,3,male,13.6,1,0,3.14,S,1
337,1,female,21.6,1,1,102.4,S,1
338,3,male,20.9,0,0,21.53,S,1
339,1,female,46.2,2,1,66.3,S,1
340,3,male,,0,0,7.19,Q,0
341,1,male,26.2,4,0,33.43,S,0
342,3,female,35.5,1,0,3.06,S,0
343,3,male,1.6,0,0,8.77,S,1
344,3,male,28.4,0,0,12.27,S,0
345,3,male,,0,0,8.46,S,0
346,3,male,,1,1,9.56,S,1
347,3,female,29.9,1,0,46.27,S,1
348,2,female,,0,1,52.88,S,1
349,3,female,40.6,1,1,6.51,S,1
350,1,male,3.0,0,1,24.22,S,1
351,3,male,7.1,0,0,104.41,S,0
352,1,male,,0,0,9.86,S,1
353,3,male,19.7,0,0,15.22,S,0
354,3,male,46.1,0,0,22.77,S,0
355,3,female,,0,2,0.27,S,0
356,3,female,3.9,0,0,39.1,S,1
357,3,female,12.5,0,0,7.89,S,1
358,3,male,,1,0,14.3,Q,0
359,3,male,26.0,0,2,2.26,Q,0
360,3,male,26.6,2,0,41.74,Q,1
361,3,male,23.5,0,0,22.73,S,1
362,1,male,43.0,0,1,82.3,S,0
363,1,male,44.6,0,3,30.18,S,0
364,1,male,26.8,0,0,90.49,S,1
365,3,female,,0,1,16.6,S,1
366,2,male,37.0,0,1,72.27,S,0
367,3,female,,0,0,1.72,S,1
368,3,male,33.0,0,0,8.18,S,0
369,2,male,41.8,0,0,5.01,S,0
370,3,male,13.9,0,0,4.31,C,0
371,3,male,,1,0,37.44,S,0
372,2,male,,0,0,2.09,C,0
373,2,male,38.7,3,0,31.73,S,0
374,2,female,7.1,1,0,65.45,S,1
375,1,male,16.9,3,0,1.93,S,1
376,1,male,48.7,1,0,22.84,S,0
377,3,male,,0,0,5.67,S,0
378,2,male,39.9,0,0,2.46,S,1
379,2,male,32.1,0,0,1.5,S,1
380,3,male,27.6,1,0,3.66,S,0
381,3,female,46.7,0,0,2.63,S,1
382,3,female,25.9,0,2,15.06,Q,1
383,3,female,5.9,2,0,14.96,S,1
384,3,male,18.6,0,1,15.7,S,0
385,2,male,36.2,0,0,54.92,S,0
386,3,female,34.1,1,0,1.16,S,1
387,3,male,8.6,0,3,9.0,S,1
388,3,male,19.6,0,1,8.01,S,0
389,1,male,21.4,1,0,239.88,C,1
390,3,female,24.2,0,0,3.09,S,1
391,3,male,11.1,0,0,18.41,S,0
392,1,female,20.8,0,0,16.67,S,1
393,3,female,19.5,0,1,1.17,Q,1
394,3,male,39.0,0,3,12.8,C,0
395,1,female,39.5,2,0,78.16,Q,1
396,3,male,27.1,2,0,42.79,S,0
397,3,male,23.9,0,0,1.48,S,1
398,2,male,,0,0,8.66,S,1
399,3,female,18.4,0,0,32.28,Q,1
400,2,male,14.1,1,0,17.15,S,0
401,2,male,16.8,0,0,28.66,S,1
402,3,male,20.7,0,0,1.48,S,0
403,3,male,13.9,0,0,0.29,S,1
404,1,male,31.1,4,0,55.09,S,1
405,3,male,,0,1,4.9,S,0
406,3,male,8.4,1,0,14.71,S,1
407,2,female,,0,0,32.53,C,1
408,3,male,26.1,2,0,33.54,S,0
409,1,female,33.4,0,0,215.46,C,1
410,3,male,,0,0,16.25,S,0
411,3,female,10.1,2,0,1.24,C,1
412,3,male,12.6,3,0,5.13,S,0
413,1,male,29.4,0,2,66.13,Q,1
414,3,female,,0,0,37.85,S,1
415,1,male,0.5,0,0,1.31,S,0
416,2,male,33.5,0,0,31.56,S,1
417,1,female,44.5,0,2,26.3,S,1
418,3,female,27.0,2,3,2.11,S,0
419,1,male,36.2,0,0,10.36,C,0
420,3,male,19.9,1,0,7.1,Q,1
421,3,female,27.4,0,0,33.23,S,1
422,1,female,7.9,0,1,102.05,S,1
423,1,female,0.5,0,0,155.87,S,1
424,1,male,,0,0,78.83,C,0
425,3,female,16.2,0,0,9.35,C,0
426,3,male,23.1,0,0,71.86,S,0
427,1,female,11.0,3,1,153.81,Q,1
428,3,male,10.7,1,0,30.83,S,1
429,1,female,26.7,1,0,0.06,C,1
430,3,male,19.5,0,0,0.75,Q,1
431,3,male,,0,0,12.99,C,0
432,3,female,34.9,0,0,31.48,S,0
433,3,male,33.2,0,0,17.29,S,0
434,3,female,32.1,0,1,0.09,S,0
435,1,male,49.5,0,0,116.18,C,0
436,1,male,15.1,0,0,135.25,S,0
437,1,male,28.3,0,0,363.64,S,1
438,3,male,43.7,0,0,0.07,Q,0
439,3,male,45.4,0,0,1.33,S,0
440,3,male,10.5,0,0,26.01,S,0
441,3,male,24.9,0,0,15.57,S,0
442,1,female,46.7,0,1,41.03,S,1
443,3,female,35.6,0,0,9.24,S,0
444,1,female,31.5,0,0,66.86,S,0
445,2,male,26.2,1,0,49.98,S,0
446,3,male,24.0,0,1,26.56,S,0
447,3,male,32.7,0,0,9.2,S,0
448,3,female,25.7,3,0,8.12,S,1
449,1,female,28.4,0,2,41.92,S,1
450,3,male,30.0,2,0,11.82,S,0
451,1,female,,1,0,132.52,S,1
452,3,male,35.9,0,0,18.5,C,0
453,3,male,66.9,0,0,30.06,S,1
454,1,male,5.9,1,0,77.72,S,0
455,1,male,33.2,4,0,89.75,Q,0
456,1,female,19.1,0,0,53.15,S,1
457,3,female,36.5,0,0,29.58,S,1
458,3,male,29.6,0,0,62.05,S,0
459,3,male,38.9,0,0,6.89,S,0
460,3,female,44.3,1,0,16.87,S,1
461,3,female,31.5,0,0,3.12,C,1
462,1,male,43.7,1,2,76.14,C,0
463,3,male,,1,0,19.35,S,0
464,2,male,49.7,0,0,7.13,S,0
465,3,male,33.9,0,0,8.64,S,1
466,3,female,,1,0,45.0,S,1
467,3,male,13.1,1,0,0.05,S,0
468,3,female,18.2,1,0,30.34,S,1
469,1,male,30.9,0,0,301.41,Q,0
470,3,male,28.8,0,0,15.16,S,1
471,2,female,,0,0,21.52,S,1
472,3,male,43.1,1,0,7.42,S,0
473,1,male,6.1,0,0,179.86,S,1
474,1,female,41.7,0,0,91.47,Q,1
475,2,female,29.1,0,0,17.69,S,0
476,2,male,26.4,0,0,13.83,C,0
477,2,male,9.9,1,0,22.9,C,1
478,3,male,,0,0,0.03,Q,1
479,3,male,0.5,0,0,5.39,S,1
480,2,male,37.4,2,0,15.79,S,0
481,2,male,,1,2,17.42,C,1
482,1,female,29.7,0,0,53.12,C,1
483,3,female,,0,0,30.12,S,0
484,2,female,44.2,3,0,23.45,C,1
485,1,female,26.7,1,3,79.9,S,1
486,2,female,,0,0,67.72,S,0
487,3,female,22.4,0,0,27.65,C,1
488,1,female,,0,3,203.25,S,1
489,3,male,,0,0,25.56,S,0
490,3,male,24.0,1,3,16.9,Q,1
491,3,male,25.9,0,0,20.92,C,0
492,3,male,,0,0,6.21,C,0
493,3,male,34.1,1,0,2.53,S,0
494,2,male,6.1,3,0,26.82,Q,1
495,3,male,38.8,1,2,1.42,S,0
496,3,male,,0,0,14.16,S,0
497,2,male,60.0,0,3,1.14,S,0
498,3,female,14.7,0,0,14.52,C,0
499,2,female,,0,0,3.28,Q,0
500,3,male,52.4,0,2,7.76,C,0
501,3,male,44.5,0,0,4.32,S,0
502,3,male,19.9,0,2,8.98,S,0
503,3,female,31.9,2,0,6.87,S,0
504,3,female,29.0,4,0,1.66,S,1
505,3,male,32.7,0,0,1.53,S,0
506,3,female,,0,0,0.8,S,1
507,2,male,27.8,0,0,14.77,C,1
508,3,male,8.2,0,0,1.16,C,0
509,3,female,30.8,0,0,5.55,C,1
510,1,male,,0,0,32.29,S,0
511,1,male,,1,1,37.11,S,1
512,3,male,8.0,0,0,11.07,S,1
513,1,male,41.9,2,0,22.66,S,1
514,2,female,33.7,0,3,9.69,S,1
515,2,female,19.6,0,0,94.62,S,1
516,1,male,,0,0,154.76,S,1
517,2,male,9.5,0,0,51.31,S,1
518,3,female,15.7,0,0,7.45,,1
519,1,male,,4,0,23.95,S,1
520,3,female,,0,0,9.69,S,1
521,3,female,,0,0,6.23,S,1
522,2,male,37.3,0,0,40.04,S,0
523,1,female,,0,0,184.98,S,1
524,3,male,32.2,0,0,13.07,S,0
525,1,male,27.2,0,0,57.13,S,1
526,2,male,40.3,1,0,10.82,Q,0
527,3,male,22.0,0,1,10.94,S,1
528,3,female,8.6,0,0,2.3,S,1
529,3,female,11.0,1,0,32.34,S,1
530,2,female,22.1,1,0,7.3,S,1
531,3,female,12.8,0,0,4.65,S,1
532,3,male,34.3,0,0,46.09,C,0
533,2,male,22.9,0,0,51.99,S,1
534,3,female,,0,3,18.31,S,1
535,1,female,6.4,0,0,18.21,S,1
536,1,male,31.6,1,1,86.4,S,0
537,3,male,14.3,0,0,13.84,S,1
538,1,male,22.6,1,0,15.38,S,0
539,1,male,30.8,0,0,11.79,S,1
540,3,female,0.5,1,0,2.64,Q,0
541,3,male,32.1,1,1,11.23,C,0
542,3,female,53.7,0,2,1.95,Q,1
543,3,female,23.1,0,1,2.94,S,1
544,3,female,32.4,0,0,6.77,C,1
545,1,male,42.3,1,1,56.19,S,0
546,2,male,26.9,0,0,23.52,S,1
547,2,female,21.4,0,2,4.23,Q,1
548,1,female,,0,0,240.62,S,1
549,3,male,,1,0,4.6,Q,0
550,2,female,27.5,0,0,26.23,C,1
551,3,male,15.8,0,0,0.45,S,0
552,1,female,30.6,4,0,53.5,S,1
553,1,male,21.4,0,2,29.49,S,1
554,3,male,22.1,1,1,21.55,Q,0
555,1,male,36.9,0,2,190.25,C,0
556,1,male,11.6,0,0,92.0,S,1
557,2,male,42.6,2,0,111.16,S,1
558,3,male,10.8,0,0,1.62,S,0
559,3,male,20.4,1,0,12.84,S,0
560,3,female,54.0,0,0,6.64,S,1
561,1,male,43.7,0,0,72.4,C,1
562,2,female,30.3,0,0,4.95,S,1
563,3,female,16.8,0,0,20.57,C,1
564,3,male,,0,0,19.29,S,0
565,3,male,30.0,0,0,6.07,S,1
566,3,female,,0,0,2.9,S,1
567,3,female,27.8,0,2,10.3,C,1
568,1,male,28.6,0,0,76.76,S,0
569,2,female,26.2,0,1,18.65,S,1
570,3,male,10.3,1,0,11.81,S,0
571,2,male,22.3,0,0,3.81,C,0
572,3,female,,0,0,12.26,S,0
573,3,male,,1,1,8.25,S,1
574,3,female,26.5,1,0,29.79,C,0
575,3,male,18.3,0,0,0.02,C,1
576,3,female,30.4,0,0,1.69,S,0
577,3,male,23.9,0,0,7.97,S,0
578,3,male,48.2,0,0,12.03,S,0
579,3,male,35.6,1,0,9.92,S,0
580,2,male,,4,0,24.66,S,1
581,3,female,37.7,0,0,3.87,S,1
582,3,male,18.9,1,0,6.63,S,1
583,1,male,,0,0,48.89,S,0
584,2,male,,0,1,23.66,S,1
585,3,male,22.6,1,1,33.83,S,0
586,3,female,,0,0,14.79,S,0
587,1,male,18.9,0,0,4.13,S,0
588,2,female,21.0,0,0,11.03,Q,1
589,1,male,20.5,4,0,67.37,S,1
590,1,female,21.6,0,0,9.92,S,1
591,3,male,43.3,0,0,2.87,S,1
592,2,male,37.2,0,3,16.58,S,1
593,2,female,,0,0,11.69,S,1
594,3,female,,0,1,24.46,S,0
595,1,female,15.6,1,0,128.69,C,1
596,2,male,29.9,1,0,44.02,S,0
597,3,male,13.7,2,0,2.12,S,0
598,3,female,18.9,1,0,21.41,S,1
599,3,male,20.8,0,1,1.82,S,0
600,3,female,,0,0,1.7,Q,0
601,3,female,,1,0,0.88,S,1
602,3,male,19.9,1,0,7.1,Q,1
603,3,female,,0,0,2.9,S,1
604,3,male,16.0,0,1,1.78,S,1
605,3,female,,4,0,28.2,S,1
606,3,male,25.0,1,0,7.97,S,0
607,2,male,27.9,0,0,1.44,S,0
608,3,male,28.8,0,0,15.16,S,1
