CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
227,Male,42,15,8
228,Female,24,86,67
229,Female,46,80,100
230,Female,36,21,16
231,Female,37,15,19
232,Female,42,84,2
233,Male,41,56,56
234,Male,26,76,91
235,Female,27,61,52
236,Female,43,52,56
237,Female,40,87,97
238,Male,53,53,60
239,Female,38,43,8
240,Male,34,38,9
241,Female,37,51,56
242,Female,32,49,45
243,Female,47,17,43
244,Female,31,96,77
245,Female,21,82,55
246,Female,28,39,30
247,Female,42,100,82
248,Female,41,89,26
249,Female,43,90,25
250,Male,44,90,24
251,Female,39,45,40
252,Male,38,58,44
253,Female,44,93,88
254,Female,58,36,10
255,Male,46,20,30
256,Male,37,51,34
257,Male,50,41,62
258,Female,39,18,23
259,Male,45,19,28
260,Male,40,104,77
261,Female,41,26,28
262,Female,31,55,51
263,Male,53,91,25
264,Male,42,39,34
265,Female,38,58,46
266,Female,48,20,36
267,Female,31,83,30
268,Male,45,15,28
269,Male,45,27,7
270,Male,46,43,28
271,Female,28,21,16
272,Male,32,27,28
273,Male,37,19,8
274,Female,37,88,61
275,Female,18,62,49
276,Female,26,76,30
277,Female,54,82,6
278,Female,37,82,86
279,Male,41,72,50
280,Male,32,42,64
281,Female,32,20,20
282,Male,47,27,30
283,Female,51,15,19
284,Female,52,15,9
285,Female,47,90,86
286,Male,70,89,25
287,Male,48,23,12
288,Male,40,89,13
289,Male,26,109,85
290,Male,43,33,19
291,Male,41,60,39
292,Female,42,42,25
293,Female,36,50,48
294,Female,31,22,29
295,Male,41,63,48
296,Male,48,45,65
297,Male,45,64,37
298,Male,38,59,36
299,Male,39,58,58
300,Female,42,91,97
301,Male,37,29,49
302,Male,55,15,21
303,Female,25,78,85
304,Female,28,82,97
305,Female,53,59,33
306,Male,37,93,80
307,Female,45,72,30
308,Male,27,86,77
309,Male,53,91,21
310,Female,42,25,25
311,Female,42,108,66
312,Male,66,97,9
313,Female,45,34,30
314,Male,51,83,16
315,Male,41,98,20
316,Male,53,92,27
317,Female,41,92,15
318,Male,40,47,36
319,Female,24,84,14
320,Male,33,44,63
321,Female,50,58,38
322,Female,51,87,85
323,Male,43,99,15
324,Male,31,85,87
325,Male,37,51,67
326,Female,52,76,53
327,Male,32,58,62
328,Female,40,80,87
329,Male,21,88,69
330,Female,49,72,1
331,Female,20,65,52
332,Female,62,23,18
333,Female,52,42,48
334,Male,39,59,58
335,Female,39,28,28
336,Male,35,96,68
337,Female,45,27,14
338,Female,35,49,41
339,Female,36,15,23
340,Female,33,61,40
341,Male,48,19,33
342,Male,21,53,57
343,Male,39,55,72
344,Female,39,89,87
345,Female,40,37,35
346,Male,35,49,65
347,Male,18,38,39
348,Male,45,83,16
349,Male,31,98,94
350,Male,49,15,26
351,Female,23,91,92
352,Female,51,43,10
353,Male,44,73,73
354,Female,34,86,90
355,Female,30,87,96
356,Male,36,72,74
357,Male,32,59,36
358,Male,27,50,48
359,Male,38,82,75
360,Female,29,95,81
361,Female,29,56,44
362,Male,36,17,14
363,Female,32,26,27
364,Male,48,25,18
365,Female,28,55,37
366,Female,30,85,28
367,Male,37,58,64
368,Male,37,60,45
369,Female,56,70,1
370,Female,27,46,47
371,Male,32,42,50
372,Male,51,88,23
373,Male,39,87,34
374,Female,58,85,29
375,Female,56,15,17
376,Female,43,30,22
377,Female,36,52,55
378,Female,43,85,19
379,Female,34,90,47
380,Male,43,58,44
381,Female,41,88,90
382,Male,19,57,63
383,Male,47,69,56
384,Female,33,77,74
385,Female,57,85,21
386,Female,38,39,62
387,Male,42,53,37
388,Female,26,33,58
389,Female,54,25,19
390,Male,34,53,45
391,Male,29,99,87
392,Female,48,23,4
393,Male,33,72,90
394,Female,37,76,41
395,Male,39,41,32
396,Male,34,90,82
397,Female,25,49,51
398,Male,46,86,23
399,Female,35,73,92
400,Female,36,78,15
401,Male,58,76,13
402,Female,34,49,58
403,Female,45,57,51
404,Female,34,20,4
405,Female,41,50,40
406,Female,24,51,76
407,Female,44,87,7
408,Male,40,56,29
409,Female,47,42,15
410,Female,33,64,50
411,Female,37,35,58
412,Female,33,46,53
413,Male,34,20,26
414,Female,33,64,38
415,Female,46,42,31
416,Male,46,17,15
417,Male,45,25,19
418,Female,34,53,38
419,Female,43,33,6
420,Female,35,48,53
421,Male,28,68,57
422,Male,40,31,12
423,Female,52,28,15
424,Female,40,18,14
425,Female,37,83,93
426,Female,30,70,75
427,Female,39,26,8
428,Female,30,49,41
429,Female,52,24,8
430,Female,34,47,80
431,Female,52,56,39
432,Male,27,65,55
433,Male,50,57,41
434,Female,19,62,53
435,Female,55,16,27
436,Female,47,35,4
437,Male,45,34,3
438,Female,18,90,79
439,Male,37,52,49
440,Female,32,83,78
441,Female,35,59,49
442,Female,49,26,1
443,Female,46,55,52
444,Male,47,15,1
445,Female,44,85,20
446,Female,42,61,61
447,Female,44,53,31
448,Female,25,99,88
449,Male,57,31,29
450,Male,38,80,80
451,Male,48,26,9
452,Male,40,60,53
453,Male,31,53,67
454,Female,52,20,20
455,Female,29,15,7
456,Male,42,25,9
457,Male,40,61,46
458,Male,36,85,89
459,Female,46,49,50
460,Male,37,92,68
461,Female,40,78,96
462,Female,43,28,22
463,Male,40,61,48
464,Female,43,93,12
465,Female,18,77,71
466,Male,49,62,70
467,Male,43,73,89
468,Female,22,51,53
469,Female,47,27,9
470,Female,40,74,87
471,Female,31,78,7
472,Male,20,86,76
473,Female,36,29,16
474,Female,50,20,31
475,Male,39,84,24
476,Female,44,85,19
477,Female,52,89,10
478,Female,42,93,53
479,Male,40,61,76
480,Male,39,82,3
481,Female,57,94,1
482,Female,40,25,8
483,Female,38,79,91
484,Female,41,70,14
485,Female,58,37,6
486,Male,43,85,6
487,Male,33,81,69
488,Male,42,15,1
489,Male,25,72,74
490,Female,32,80,100
491,Male,33,57,34
492,Male,39,90,72
493,Female,33,44,49
494,Male,46,86,12
495,Male,42,53,45
496,Female,29,90,81
497,Male,46,92,16
498,Female,21,89,99
499,Female,50,92,1
500,Male,33,102,87
