transaction_id,amount_usd,hour_of_day,account_age_days,transactions_last_hour,distance_from_home_km,is_anomaly
tx100111,20.95,12,1204.0,0,6.22,0
tx100112,24.38,13,800.0,2,11.52,0
tx100113,16.24,17,408.0,0,1.33,0
tx100114,30.18,16,795.0,0,1.25,0
tx100115,127.83,19,1981.0,3,0.4,0
tx100116,31.21,17,394.0,0,14.05,0
tx100117,31.71,19,1638.0,0,1.83,0
tx100118,17.71,10,984.0,0,4.62,0
tx100119,43.51,12,599.0,1,7.06,0
tx100120,12.08,20,261.0,0,0.6,0
tx100121,38.35,21,691.0,2,1.59,0
tx100122,92.62,12,1129.0,1,1.33,0
tx100123,27.17,17,365.0,1,3.22,0
tx100124,62.87,14,865.0,2,1.23,0
tx100125,10.49,18,1960.0,0,8.99,0
tx100126,31.68,10,1614.0,0,6.81,0
tx100127,6.11,15,1555.0,1,17.48,0
tx100128,49.7,17,1152.0,1,1.99,0
tx100129,35.24,15,808.0,0,10.81,0
tx100130,10.57,18,730.0,1,0.59,0
tx100131,32.43,22,182.0,2,2.8,0
tx100132,82.93,12,1348.0,0,9.86,0
tx100133,37.29,21,63.0,1,1.87,0
tx100134,20.68,21,1268.0,1,13.27,0
tx100135,20.26,20,724.0,0,3.29,0
tx100136,15.7,12,1670.0,1,2.47,0
tx100137,38.32,18,1592.0,1,0.23,0
tx100138,29.33,15,1742.0,0,12.12,0
tx100139,35.57,16,1450.0,0,0.1,0
tx100140,15.84,20,1161.0,0,2.87,0
tx100141,62.75,11,831.0,1,2.12,0
tx100142,565.5,22,43.0,7,460.84,1
tx100143,36.33,15,1064.0,2,2.76,0
tx100144,15.95,15,864.0,1,7.53,0
tx100145,51.7,21,1117.0,1,7.21,0
tx100146,32.18,10,1275.0,2,3.65,0
tx100147,44.12,16,948.0,2,6.68,0
tx100148,32.62,19,710.0,1,10.46,0
tx100149,37.67,14,470.0,0,0.68,0
tx100150,30.47,8,1591.0,0,0.44,0
tx100151,15.98,8,66.0,2,0.28,0
tx100152,32.82,20,579.0,0,2.48,0
tx100153,166.0,2,55.0,10,192.22,1
tx100154,44.41,16,920.0,5,5.0,0
tx100155,29.66,21,1045.0,0,2.48,0
tx100156,20.14,13,539.0,0,26.85,0
tx100157,20.65,22,851.0,1,0.69,0
tx100158,27.08,13,1749.0,0,1.11,0
tx100159,18.4,21,50.0,1,2.78,0
tx100160,25.34,13,718.0,3,4.52,0
tx100161,34.92,8,993.0,0,0.45,0
tx100162,30.61,17,1985.0,1,1.27,0
tx100163,25.88,8,444.0,0,7.83,0
tx100164,16.1,13,1969.0,1,1.79,0
tx100165,67.25,20,1482.0,1,8.41,0
tx100166,32.0,20,545.0,5,0.6,0
tx100167,13.04,11,179.0,1,1.63,0
tx100168,25.48,13,295.0,4,1.09,0
tx100169,22.49,18,279.0,1,4.95,0
tx100170,32.52,15,256.0,0,0.55,0
tx100171,29.95,11,661.0,1,4.31,0
tx100172,40.33,12,675.0,0,3.05,0
tx100173,28.7,21,1144.0,0,0.37,0
tx100174,25.26,18,715.0,0,0.58,0
tx100175,16.17,12,848.0,0,2.31,0
tx100176,14.45,4,1516.0,2,0.53,0
tx100177,54.71,14,685.0,0,1.08,0
tx100178,35.08,13,1951.0,2,2.15,0
tx100179,72.71,11,900.0,0,2.6,0
tx100180,90.35,13,693.0,0,1.5,0
tx100181,40.73,9,337.0,1,12.58,0
tx100182,31.72,16,166.0,2,5.21,0
tx100183,23.88,11,1082.0,2,0.55,0
tx100184,17.93,13,1180.0,1,5.67,0
tx100185,46.31,0,1742.0,0,5.43,0
tx100186,15.96,9,1337.0,1,6.81,0
tx100187,38.15,0,550.0,0,2.04,0
tx100188,24.12,14,1000.0,2,30.48,0
tx100189,15.83,11,187.0,2,11.8,0
tx100190,43.6,15,367.0,1,19.19,0
tx100191,12.35,12,286.0,2,0.58,0
tx100192,62.94,10,1255.0,0,0.18,0
tx100193,65.54,19,1637.0,1,12.74,0
tx100194,42.48,3,61.0,3,7.47,0
tx100195,77.29,9,1246.0,2,7.99,0
tx100196,6.03,12,1458.0,1,4.08,0
tx100197,31.98,9,1054.0,0,14.32,0
tx100198,15.25,8,1600.0,1,1.3,0
tx100199,36.14,11,1752.0,1,3.4,0
tx100200,12.83,20,1960.0,1,7.2,0
tx100201,36.76,21,1377.0,3,0.48,0
tx100202,85.76,6,1023.0,0,4.08,0
tx100203,42.14,6,1612.0,1,2.49,0
tx100204,43.48,21,1101.0,0,3.13,0
tx100205,33.24,12,136.0,1,1.02,0
tx100206,36.39,10,685.0,0,9.29,0
tx100207,37.53,15,1928.0,0,3.49,0
tx100208,47.71,10,654.0,2,4.89,0
tx100209,38.02,18,1428.0,0,4.4,0
tx100210,37.46,15,1180.0,2,5.58,0
tx100211,49.12,12,1916.0,0,4.83,0
tx100212,46.13,11,909.0,1,7.06,0
tx100213,29.33,21,1347.0,0,4.73,0
tx100214,6.25,12,709.0,0,1.16,0
tx100215,15.48,10,299.0,2,9.05,0
tx100216,61.57,18,526.0,0,12.71,0
tx100217,18.39,2,238.0,0,2.07,0
tx100218,22.29,15,1842.0,1,11.58,0
tx100219,36.74,17,1282.0,0,13.02,0
tx100220,60.44,10,1637.0,2,4.02,0
tx100221,26.77,14,1545.0,1,8.52,0
tx100222,32.76,6,1484.0,1,0.21,0
tx100223,9.49,8,1085.0,1,0.65,0
tx100224,42.37,17,569.0,0,23.52,0
tx100225,15.26,10,551.0,1,1.44,0
tx100226,9.53,12,39.0,4,2.94,0
tx100227,5.38,21,1322.0,0,1.32,0
tx100228,23.97,21,917.0,0,8.1,0
tx100229,49.72,12,74.0,5,2.81,0
tx100230,15.45,0,813.0,0,2.72,0
tx100231,57.64,12,950.0,1,1.39,0
tx100232,20.55,14,193.0,3,5.75,0
tx100233,15.9,21,625.0,1,0.32,0
tx100234,12.45,8,76.0,2,0.2,0
tx100235,53.34,4,375.0,2,0.02,0
tx100236,22.89,22,1667.0,1,2.84,0
tx100237,25.86,14,351.0,0,5.02,0
tx100238,57.25,12,822.0,2,5.47,0
tx100239,157.28,0,24.0,2,2.13,1
tx100240,30.59,17,1877.0,2,2.66,0
tx100241,9.37,15,763.0,1,9.55,0
tx100242,18.93,18,232.0,1,5.43,0
tx100243,22.45,23,800.0,0,5.45,0
tx100244,21.4,20,1443.0,1,5.29,0
tx100245,31.01,14,1139.0,0,7.67,0
tx100246,43.03,15,1246.0,1,1.6,0
tx100247,54.45,22,1488.0,0,9.08,0
tx100248,6.95,21,1987.0,1,0.57,0
tx100249,79.99,20,738.0,1,1.93,0
tx100250,22.33,21,411.0,0,2.98,0
tx100251,19.61,13,1789.0,1,1.5,0
tx100252,41.34,13,191.0,2,1.57,0
tx100253,36.52,17,1557.0,1,10.41,0
tx100254,4.77,20,793.0,0,7.68,0
tx100255,26.24,6,1760.0,0,4.4,0
tx100256,76.78,8,1662.0,3,1.03,0
tx100257,29.46,3,1849.0,1,0.95,0
tx100258,48.53,11,796.0,2,7.71,0
tx100259,23.41,12,195.0,0,0.38,0
tx100260,22.8,13,336.0,1,0.25,0
tx100261,18.61,19,269.0,1,3.12,0
tx100262,28.25,8,1453.0,1,0.54,0
tx100263,34.39,14,1864.0,1,3.87,0
tx100264,18.44,13,542.0,1,2.13,0
tx100265,32.03,8,1702.0,0,3.76,0
tx100266,89.11,11,925.0,1,6.82,0
tx100267,39.49,21,1461.0,1,3.24,0
tx100268,20.13,18,330.0,2,21.12,0
tx100269,32.92,16,1454.0,0,5.61,0
tx100270,125.16,5,1401.0,4,5.48,0
tx100271,31.77,19,411.0,2,4.93,0
tx100272,1082.19,21,38.0,8,6.63,1
tx100273,31.18,8,1430.0,3,7.74,0
tx100274,38.43,20,450.0,2,8.62,0
tx100275,50.57,19,1262.0,2,2.42,0
tx100276,29.56,17,1135.0,2,1.56,0
tx100277,27.07,7,191.0,3,1.91,0
tx100278,14.47,14,1570.0,2,2.21,0
tx100279,33.41,18,942.0,1,1.95,0
tx100280,33.58,8,244.0,1,3.51,0
tx100281,50.46,10,1720.0,0,19.39,0
tx100282,31.03,4,1858.0,3,5.52,0
tx100283,15.28,15,1748.0,0,9.89,0
tx100284,35.51,6,72.0,0,0.97,0
tx100285,61.55,19,869.0,1,7.83,0
tx100286,51.01,14,548.0,1,4.37,0
tx100287,24.83,12,1661.0,1,1.15,0
tx100288,13.33,19,1352.0,0,1.6,0
tx100289,101.6,10,1460.0,2,5.79,0
tx100290,37.33,7,1158.0,4,7.71,0
tx100291,35.97,8,1024.0,1,1.0,0
tx100292,54.59,13,102.0,1,7.97,0
tx100293,9.84,17,1998.0,0,3.2,0
tx100294,25.18,20,1703.0,1,1.62,0
tx100295,33.33,3,418.0,1,7.91,0
tx100296,24.22,14,317.0,1,8.12,0
tx100297,34.49,8,1221.0,1,9.88,0
tx100298,20.03,11,686.0,3,4.28,0
tx100299,15.04,8,1439.0,1,5.15,0
tx100300,43.86,16,988.0,1,9.55,0
tx100301,23.47,19,1697.0,0,0.05,0
tx100302,21.01,16,1260.0,1,2.21,0
tx100303,45.46,10,608.0,0,2.9,0
tx100304,13.55,10,1510.0,1,2.3,0
tx100305,19.68,22,1283.0,1,14.17,0
tx100306,35.13,19,1278.0,4,10.75,0
tx100307,90.49,20,670.0,3,6.25,0
tx100308,30.92,13,1725.0,0,4.02,0
tx100309,34.51,17,429.0,2,0.36,0
tx100310,35.6,19,573.0,1,0.72,0
tx100311,100.81,16,1898.0,0,1.11,0
tx100312,68.12,8,1607.0,4,3.61,0
tx100313,665.73,2,55.0,6,82.84,1
tx100314,36.39,14,1703.0,6,5.59,0
tx100315,28.05,9,171.0,2,0.51,0
tx100316,23.43,14,1650.0,2,5.76,0
tx100317,16.75,12,186.0,1,9.34,0
tx100318,29.71,14,1505.0,3,0.47,0
tx100319,13.44,15,450.0,0,10.53,0
tx100320,9.31,17,889.0,0,1.63,0
tx100321,128.18,16,886.0,1,22.37,0
tx100322,15.98,7,1441.0,0,6.42,0
tx100323,33.8,9,1768.0,1,1.21,0
tx100324,57.6,9,379.0,0,22.57,0
tx100325,23.4,12,1882.0,0,0.56,0
tx100326,20.51,2,1940.0,1,16.47,0
tx100327,21.63,9,495.0,0,12.0,0
tx100328,37.55,11,879.0,1,3.6,0
tx100329,53.98,23,563.0,2,0.41,0
tx100330,24.96,16,570.0,1,6.24,0
tx100331,25.26,18,521.0,1,6.68,0
tx100332,27.95,20,1608.0,1,0.31,0
tx100333,43.8,12,1492.0,2,0.73,0
tx100334,27.05,8,1031.0,1,2.28,0
tx100335,30.67,17,1241.0,0,1.76,0
tx100336,57.97,17,497.0,0,3.23,0
tx100337,24.92,11,1144.0,0,0.05,0
tx100338,25.7,13,1258.0,2,7.0,0
tx100339,17.19,11,299.0,1,0.09,0
tx100340,9.96,3,939.0,0,1.12,0
tx100341,42.66,5,669.0,1,5.12,0
tx100342,8.35,13,1314.0,2,5.46,0
tx100343,18.9,15,1848.0,0,0.3,0
tx100344,33.01,9,1193.0,0,4.35,0
tx100345,43.55,3,1198.0,0,1.69,0
tx100346,16.57,21,576.0,3,2.34,0
tx100347,9.17,21,345.0,2,8.04,0
tx100348,48.97,12,1971.0,1,6.06,0
tx100349,22.62,9,1534.0,1,5.46,0
tx100350,32.57,19,182.0,0,12.66,0
tx100351,34.22,2,1279.0,2,5.14,0
tx100352,23.93,19,768.0,0,1.39,0
tx100353,25.76,15,616.0,2,1.4,0
tx100354,25.86,3,1790.0,1,0.48,0
tx100355,84.54,6,1606.0,2,0.47,0
tx100356,36.68,20,1569.0,1,1.09,0
tx100357,37.38,16,656.0,1,17.57,0
tx100358,37.31,0,697.0,0,8.64,0
tx100359,20.4,15,1168.0,3,5.85,0
tx100360,20.98,13,695.0,0,1.29,0
tx100361,44.67,8,1279.0,0,6.15,0
tx100362,34.75,10,335.0,0,8.98,0
tx100363,29.27,2,1820.0,2,0.72,0
tx100364,47.99,19,917.0,2,0.05,0
tx100365,63.8,17,1763.0,1,3.36,0
tx100366,41.24,13,798.0,2,6.36,0
tx100367,37.93,17,1587.0,2,9.94,0
tx100368,21.92,10,1557.0,0,3.55,0
tx100369,20.69,18,1079.0,0,4.34,0
tx100370,29.07,14,1334.0,0,14.75,0
tx100371,11.57,15,340.0,2,1.22,0
tx100372,49.6,8,1769.0,2,3.09,0
tx100373,22.29,15,754.0,1,3.29,0
tx100374,13.84,22,895.0,2,0.53,0
tx100375,20.34,14,705.0,1,1.45,0
tx100376,41.57,12,81.0,0,4.51,0
tx100377,25.86,13,1499.0,1,0.94,0
tx100378,56.11,13,922.0,0,0.13,0
tx100379,15.72,14,558.0,1,0.14,0
tx100380,24.74,21,1119.0,3,2.79,0
tx100381,36.44,23,1916.0,1,0.85,0
tx100382,24.92,14,560.0,1,1.94,0
tx100383,61.66,1,359.0,1,1.48,0
tx100384,11.73,8,310.0,0,7.45,0
tx100385,11.7,13,885.0,1,0.07,0
tx100386,18.93,15,623.0,0,3.8,0
tx100387,25.08,18,1479.0,1,0.21,0
tx100388,82.28,15,584.0,0,16.97,0
tx100389,21.74,9,377.0,1,2.12,0
tx100390,7.94,10,1957.0,1,8.1,0
tx100391,37.83,8,1416.0,2,13.34,0
tx100392,20.08,8,666.0,2,8.89,0
tx100393,26.71,9,1162.0,2,0.42,0
tx100394,44.7,17,1013.0,0,1.2,0
tx100395,32.08,20,1227.0,0,1.34,0
tx100396,32.71,8,204.0,3,8.1,0
tx100397,22.11,10,703.0,0,14.38,0
tx100398,14.46,15,323.0,1,6.9,0
tx100399,47.23,10,149.0,0,6.77,0
tx100400,17.33,12,1925.0,0,5.19,0
tx100401,51.27,19,629.0,2,10.38,0
tx100402,26.53,9,1900.0,0,17.64,0
tx100403,17.49,20,1312.0,0,6.57,0
tx100404,46.35,3,1274.0,2,11.5,0
tx100405,30.77,19,503.0,1,4.94,0
tx100406,15.82,5,1697.0,1,3.49,0
tx100407,21.18,13,1980.0,0,1.58,0
tx100408,41.04,12,538.0,0,0.74,0
tx100409,47.06,13,1350.0,1,0.26,0
tx100410,11.47,18,719.0,0,5.55,0
tx100411,26.47,9,796.0,0,1.22,0
tx100412,34.02,16,976.0,2,10.13,0
tx100413,41.99,20,1615.0,0,4.05,0
tx100414,12.31,17,1532.0,2,0.06,0
tx100415,41.78,22,971.0,3,16.35,0
tx100416,10.63,8,178.0,1,7.58,0
tx100417,140.76,11,6.0,10,130.44,1
tx100418,48.21,14,1530.0,4,1.93,0
tx100419,13.12,18,689.0,1,4.26,0
tx100420,11.42,20,1933.0,0,4.09,0
tx100421,41.79,11,1469.0,1,3.02,0
tx100422,27.97,3,784.0,0,7.05,0
tx100423,18.62,12,455.0,0,9.06,0
tx100424,17.02,17,613.0,3,21.76,0
tx100425,142.11,2,2.0,6,55.44,1
tx100426,10.33,8,368.0,0,0.74,0
tx100427,34.54,17,129.0,1,1.3,0
tx100428,508.22,15,1.0,2,56.87,1
tx100429,7.12,15,1428.0,0,4.56,0
tx100430,58.96,14,346.0,0,1.57,0
tx100431,70.6,12,460.0,1,8.75,0
tx100432,20.7,11,548.0,1,10.19,0
tx100433,16.0,15,164.0,1,25.22,0
tx100434,166.41,6,1036.0,1,1.21,0
tx100435,30.33,22,889.0,2,3.66,0
tx100436,55.72,6,1990.0,1,0.84,0
tx100437,22.52,1,1523.0,1,0.4,0
tx100438,32.98,20,766.0,1,0.35,0
tx100439,18.35,2,485.0,4,0.53,0
tx100440,9.4,11,1251.0,2,6.46,0
tx100441,39.41,12,428.0,1,10.87,0
tx100442,30.8,12,1558.0,2,4.03,0
tx100443,94.99,13,746.0,0,4.86,0
tx100444,10.32,20,1518.0,2,3.64,0
tx100445,26.0,21,78.0,0,3.62,0
tx100446,33.17,16,1098.0,1,0.0,0
tx100447,20.09,19,118.0,0,2.78,0
tx100448,34.66,8,1259.0,2,1.26,0
tx100449,28.56,21,674.0,0,12.81,0
tx100450,13.48,10,542.0,1,2.64,0
tx100451,92.48,9,541.0,1,0.83,0
tx100452,17.81,20,1892.0,1,0.19,0
tx100453,26.86,15,1061.0,1,0.62,0
tx100454,13.88,3,162.0,1,3.26,0
tx100455,23.65,17,867.0,1,2.75,0
tx100456,43.08,17,622.0,2,0.37,0
tx100457,19.1,22,1640.0,0,2.91,0
tx100458,10.58,0,1984.0,2,1.35,0
tx100459,34.87,20,1280.0,3,0.53,0
tx100460,85.1,13,1513.0,0,8.65,0
tx100461,10.78,15,1666.0,4,3.38,0
tx100462,40.69,17,1918.0,1,4.42,0
tx100463,27.19,21,441.0,1,2.63,0
tx100464,73.26,7,1573.0,1,14.33,0
tx100465,20.8,14,1833.0,0,2.29,0
tx100466,62.79,9,188.0,1,1.11,0
tx100467,54.33,21,309.0,1,5.92,0
tx100468,23.76,16,1681.0,4,0.51,0
tx100469,15.53,20,233.0,1,7.29,0
tx100470,30.48,11,692.0,1,12.4,0
tx100471,22.68,17,1648.0,0,4.43,0
tx100472,36.62,14,73.0,2,2.47,0
tx100473,39.62,19,804.0,1,1.47,0
tx100474,46.32,13,296.0,2,3.14,0
tx100475,47.84,14,1066.0,1,1.03,0
tx100476,47.0,8,954.0,0,1.61,0
tx100477,83.59,10,462.0,1,3.65,0
tx100478,17.22,10,1690.0,0,0.27,0
tx100479,19.74,16,59.0,0,3.56,0
tx100480,35.99,22,1862.0,0,0.51,0
tx100481,54.05,12,347.0,3,3.65,0
tx100482,16.59,9,400.0,1,2.61,0
tx100483,33.33,11,950.0,4,5.35,0
tx100484,11.73,7,1727.0,1,3.03,0
tx100485,24.31,12,459.0,0,2.99,0
tx100486,34.44,9,144.0,1,1.45,0
tx100487,45.27,14,158.0,1,2.9,0
tx100488,51.91,12,1510.0,1,1.23,0
tx100489,38.56,13,1331.0,1,2.85,0
tx100490,56.89,8,1383.0,0,0.85,0
tx100491,11.23,9,964.0,2,5.13,0
tx100492,3.36,13,96.0,0,9.46,0
tx100493,46.48,15,423.0,4,1.11,0
tx100494,63.36,17,1803.0,0,0.99,0
tx100495,12.67,8,1166.0,0,6.17,0
tx100496,25.74,22,461.0,1,1.17,0
tx100497,18.3,19,509.0,4,0.38,0
tx100498,29.21,8,1700.0,3,6.45,0
tx100499,19.19,12,1037.0,1,6.19,0
tx100500,47.54,10,1808.0,0,0.91,0
tx100501,9.67,17,1247.0,2,8.69,0
tx100502,16.29,8,1497.0,0,2.26,0
tx100503,34.1,10,1324.0,3,2.07,0
tx100504,5.09,16,991.0,2,6.7,0
tx100505,34.27,15,357.0,1,0.95,0
tx100506,23.89,21,65.0,0,0.58,0
tx100507,35.41,12,1842.0,0,4.42,0
tx100508,100.01,2,340.0,1,16.61,0
tx100509,12.9,1,593.0,2,7.74,0
tx100510,27.04,19,191.0,0,1.48,0
tx100511,10.73,21,913.0,0,0.56,0
tx100512,31.91,15,377.0,3,0.8,0
tx100513,47.47,10,1462.0,2,13.29,0
tx100514,24.51,3,1304.0,0,1.95,0
tx100515,65.51,20,739.0,0,3.5,0
tx100516,11.15,5,56.0,0,0.1,0
tx100517,12.58,16,1142.0,0,3.8,0
tx100518,30.08,13,1975.0,1,4.97,0
tx100519,96.82,16,990.0,2,4.43,0
tx100520,20.38,9,970.0,0,9.58,0
tx100521,42.87,18,1223.0,3,6.85,0
tx100522,43.31,0,1443.0,0,1.51,0
tx100523,56.13,19,723.0,0,12.2,0
tx100524,17.98,17,536.0,1,2.75,0
tx100525,60.51,17,301.0,0,1.53,0
tx100526,18.65,19,808.0,1,1.47,0
tx100527,26.14,18,1543.0,1,8.74,0
tx100528,24.51,21,856.0,0,0.22,0
tx100529,399.79,17,6.0,7,91.6,1
tx100530,19.97,16,186.0,1,1.53,0
tx100531,55.6,3,1116.0,2,1.85,0
tx100532,19.67,14,673.0,1,1.01,0
tx100533,32.84,8,672.0,0,5.72,0
tx100534,65.34,19,682.0,0,7.6,0
tx100535,16.21,18,1225.0,2,1.85,0
tx100536,39.31,20,959.0,2,0.23,0
tx100537,72.3,16,381.0,0,21.6,0
tx100538,35.68,19,450.0,2,3.91,0
tx100539,31.2,14,120.0,1,3.5,0
tx100540,25.76,17,1358.0,1,2.68,0
tx100541,60.76,16,322.0,0,4.11,0
tx100542,46.97,3,1848.0,0,1.34,0
tx100543,29.83,16,1559.0,1,2.55,0
tx100544,31.32,17,745.0,0,14.03,0
tx100545,28.97,16,1860.0,2,2.21,0
tx100546,11.6,10,714.0,0,23.67,0
tx100547,24.92,2,704.0,3,5.36,0
tx100548,30.81,16,279.0,4,5.03,0
tx100549,14.79,11,1354.0,1,26.06,0
tx100550,20.32,8,1570.0,1,1.57,0
tx100551,22.1,11,705.0,0,4.39,0
tx100552,61.43,16,1926.0,1,0.4,0
tx100553,46.0,20,426.0,1,3.27,0
tx100554,23.07,20,1725.0,2,3.58,0
tx100555,72.71,14,645.0,0,5.31,0
tx100556,14.7,5,52.0,0,2.08,0
tx100557,295.8,16,20.0,6,315.35,1
tx100558,30.42,18,1060.0,0,0.43,0
tx100559,58.45,22,1885.0,2,1.11,0
tx100560,6.53,17,1815.0,1,4.13,0
tx100561,15.68,22,98.0,1,6.86,0
tx100562,70.54,20,952.0,2,4.32,0
tx100563,40.36,19,306.0,1,5.07,0
tx100564,28.48,16,1661.0,0,2.59,0
tx100565,73.38,4,44.0,4,208.1,1
tx100566,24.96,21,1888.0,3,7.57,0
tx100567,45.02,22,1204.0,1,12.48,0
tx100568,9.83,12,1023.0,0,12.85,0
tx100569,38.49,18,667.0,1,3.64,0
tx100570,251.28,2,53.0,12,84.88,1
tx100571,28.71,14,1255.0,1,4.73,0
tx100572,28.32,19,1856.0,1,1.97,0
tx100573,19.16,8,515.0,0,9.8,0
tx100574,13.94,8,1022.0,0,8.35,0
tx100575,1161.53,4,28.0,4,166.87,1
tx100576,86.73,14,1643.0,0,4.8,0
tx100577,17.59,21,264.0,0,10.92,0
tx100578,59.72,18,317.0,1,6.31,0
tx100579,44.59,1,1373.0,0,4.75,0
tx100580,62.54,14,871.0,0,6.23,0
tx100581,30.35,20,1754.0,2,0.16,0
tx100582,26.8,16,1075.0,1,10.26,0
tx100583,24.79,18,1271.0,1,7.17,0
tx100584,17.34,19,497.0,1,2.29,0
tx100585,34.95,14,496.0,1,3.56,0
tx100586,10.56,12,1212.0,1,0.15,0
tx100587,34.95,9,1407.0,2,3.57,0
tx100588,14.2,17,1715.0,1,2.86,0
tx100589,28.59,0,1467.0,1,3.7,0
tx100590,25.3,14,153.0,0,2.82,0
tx100591,10.59,13,1733.0,0,7.48,0
